STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
OBJ,YES,13-8-2,TRUE,NO,PP1,,OBJ > PP1,8,YES,Y,FALSE,NO,13,8EDY,13.8EDY_Y,2,NO,OBJ > PP1,16X
OBJ,YES,13-9-1,FALSE,NO,PP1,PP2,OBJ > PP1,9,YES,X,FALSE,NO,13,9EDN,13.9EDN_X,1,YES,OBJ > PP1,16X
NONE,YES,13-9-2,FALSE,NO,NONE,,OBJ PP1,9,YES,Y,FALSE,NO,13,9EDN,13.9EDN_Y,2,NO,OBJ PP1,16X
PP1,NO,14-1-1,TRUE,YES,V,PP2,PP1,1,YES,X,TRUE,YES,14,1EQY,1EQY,1,YES,PP1 > V,16Y
PP1,YES,14-1-2,TRUE,NO,OBJ,PP2,PP1 > OBJ,1,YES,Y,TRUE,YES,14,1EQY,1EQY,2,YES,PP1 > OBJ,16Y
PP1,NO,14-10-1,TRUE,NO,NONE,,PP1,10,YES,X,FALSE,NO,14,10EDY,10EDY,1,NO,PP1 ,16Y
PP1,NO,14-10-2,TRUE,NO,NONE,,PP1,10,YES,Y,FALSE,NO,14,10EDY,10EDY,2,NO,PP1 ,16Y
OBJ,YES,14-11-1,FALSE,NO,PP1,PP1,OBJ > PP1,11,YES,X,TRUE,YES,14,11EQN,11EQN,1,YES,OBJ > PP1,16Y
OBJ,YES,14-11-2,FALSE,NO,NONE,,OBJ,11,NO,Y,TRUE,YES,14,11EQN,11EQN,2,NO,OBJ ,16Y
PP1,NO,14-12-1,TRUE,NO,NONE,PP2,PP1,12,YES,X,TRUE,YES,14,12EQY,12EQY,1,YES,PP1 ,16Y
PP1,NO,14-12-2,TRUE,NO,NONE,V,PP1,12,YES,Y,TRUE,NO,14,12EQY,12EQY,2,YES,PP1 ,16Y
OBJ,YES,14-13-1,FALSE,NO,NONE,,OBJ,13,NO,X,TRUE,YES,14,13EQN,13EQN,1,NO,OBJ ,16Y
OBJ,YES,14-13-2,FALSE,NO,NONE,,OBJ,13,NO,Y,TRUE,YES,14,13EQN,13EQN,2,NO,OBJ ,16Y
OBJ,YES,14-14-1,FALSE,NO,NONE,,OBJ,14,NO,X,FALSE,NO,14,14EDN,14EDN,1,NO,OBJ ,16Y
PP1,YES,14-14-2,FALSE,NO,OBJ,,PP1 > OBJ,14,YES,Y,FALSE,NO,14,14EDN,14EDN,2,NO,PP1 > OBJ,16Y
PP1,YES,14-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,TRUE,YES,14,15EQY,15EQY,1,NO,PP1 > OBJ,16Y
PP1,YES,14-15-2,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,Y,TRUE,YES,14,15EQY,15EQY,2,NO,PP1 > OBJ,16Y
PP1,NO,14-16-1,FALSE,NO,NONE,PP1,PP1,16,YES,X,FALSE,NO,14,16EDN,16EDN,1,YES,PP1 ,16Y
PP1,NO,14-16-2,FALSE,NO,NONE,,PP1,16,YES,Y,FALSE,NO,14,16EDN,16EDN,2,NO,PP1 ,16Y
PP1,NO,14-2-1,TRUE,NO,NONE,,PP1,2,YES,X,FALSE,NO,14,2EDY,2EDY,1,NO,PP1 ,16Y
PP1,NO,14-2-2,TRUE,YES,V,V,PP1,2,YES,Y,FALSE,NO,14,2EDY,2EDY,2,YES,PP1 > V,16Y
PP1,NO,14-3-1,TRUE,YES,V,,PP1,3,YES,X,FALSE,NO,14,3EDY,3EDY,1,NO,PP1 > V,16Y
PP1,YES,14-3-2,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,Y,FALSE,NO,14,3EDY,3EDY,2,NO,PP1 > OBJ,16Y
OBJ,YES,14-4-1,FALSE,NO,NONE,,OBJ,4,NO,X,FALSE,NO,14,4EDN,4EDN,1,NO,OBJ ,16Y
OBJ,YES,14-4-2,FALSE,YES,V,START,OBJ,4,NO,Y,FALSE,NO,14,4EDN,4EDN,2,YES,OBJ > V,16Y
PP1,NO,14-5-1,TRUE,NO,NONE,,PP1,5,YES,X,FALSE,NO,14,5EDY,5EDY,1,NO,PP1 ,16Y
PP1,YES,14-5-2,TRUE,NO,OBJ,,PP1 > OBJ,5,YES,Y,FALSE,NO,14,5EDY,5EDY,2,NO,PP1 > OBJ,16Y
OBJ,YES,14-6-1,FALSE,NO,PP1,PP2,OBJ > PP1,6,YES,X,FALSE,NO,14,6EDN,6EDN,1,YES,OBJ > PP1,16Y
OBJ,YES,14-6-2,FALSE,NO,PP1,,OBJ > PP1,6,YES,Y,FALSE,NO,14,6EDN,6EDN,2,NO,OBJ > PP1,16Y
OBJ,YES,14-7-1,FALSE,NO,PP1,PP2,OBJ > PP1,7,YES,X,TRUE,YES,14,7EQN,7EQN,1,YES,OBJ > PP1,16Y
OBJ,YES,14-7-2,FALSE,NO,PP1,,OBJ > PP1,7,YES,Y,TRUE,YES,14,7EQN,7EQN,2,NO,OBJ > PP1,16Y
OBJ,YES,14-8-1,FALSE,NO,PP1,PP1,OBJ > PP1,8,YES,X,TRUE,YES,14,8EQN,8EQN,1,YES,OBJ > PP1,16Y
OBJ,YES,14-8-2,FALSE,NO,PP1,,OBJ > PP1,8,YES,Y,TRUE,YES,14,8EQN,8EQN,2,NO,OBJ > PP1,16Y
PP1,YES,14-9-1,TRUE,NO,OBJ,PP1,PP1 > OBJ,9,YES,X,TRUE,YES,14,9EQY,9EQY,1,YES,PP1 > OBJ,16Y
PP1,YES,14-9-2,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,Y,TRUE,YES,14,9EQY,9EQY,2,NO,PP1 > OBJ,16Y
PP1,NO,15-1-1,TRUE,NO,NONE,,PP1,1,YES,X,FALSE,NO,15,1EDY,15.1EDY_X,1,NO,PP1 ,1X
PP1,NO,15-1-2,TRUE,NO,NONE,,PP1,1,YES,Y,FALSE,NO,15,1EDY,15.1EDY_Y,2,NO,PP1 ,1X
PP1,NO,15-10-1,TRUE,NO,NONE,,PP1,10,YES,X,TRUE,YES,15,10EQY,15.10EQY_X,1,NO,PP1 ,1X
OBJ,YES,15-10-2,TRUE,NO,PP1,,OBJ > PP1,10,YES,Y,TRUE,YES,15,10EQY,15.10EQY_Y,2,NO,OBJ > PP1,1X
PP1,YES,15-11-1,FALSE,NO,OBJ,,PP1 > OBJ,11,YES,X,FALSE,NO,15,11EDN,15.11EDN_X,1,NO,PP1 > OBJ,1X
OBJ,YES,15-11-2,FALSE,NO,NONE,,OBJ,11,NO,Y,FALSE,NO,15,11EDN,15.11EDN_Y,2,NO,OBJ ,1X
PP1,NO,15-12-1,TRUE,NO,NONE,,PP1,12,YES,X,FALSE,NO,15,12EDY,15.12EDY_X,1,NO,PP1 ,1X
PP1,NO,15-12-2,TRUE,NO,NONE,,PP1,12,YES,Y,FALSE,NO,15,12EDY,15.12EDY_Y,2,NO,PP1 ,1X
PP1,NO,15-13-1,FALSE,NO,NONE,,PP1,13,YES,X,FALSE,NO,15,13EDN,15.13EDN_X,1,NO,PP1 ,1X
PP1,NO,15-13-2,FALSE,NO,NONE,,PP1,13,YES,Y,FALSE,NO,15,13EDN,15.13EDN_Y,2,NO,PP1 ,1X
OBJ,YES,15-14-1,FALSE,NO,NONE,,OBJ,14,NO,X,TRUE,YES,15,14EQN,15.14EQN_X,1,NO,OBJ ,1X
PP1,YES,15-14-2,FALSE,NO,OBJ,,PP1 > OBJ,14,YES,Y,TRUE,YES,15,14EQN,15.14EQN_Y,2,NO,PP1 > OBJ,1X
PP1,YES,15-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,FALSE,NO,15,15EDY,15.15EDY_X,1,NO,PP1 > OBJ,1X
PP1,NO,15-15-2,TRUE,NO,NONE,,PP1,15,YES,Y,FALSE,NO,15,15EDY,15.15EDY_Y,2,NO,PP1 ,1X
OBJ,YES,15-16-1,FALSE,NO,NONE,,OBJ,16,NO,X,TRUE,YES,15,16EQN,15.16EQN_X,1,NO,OBJ ,1X
OBJ,YES,15-16-2,FALSE,NO,PP1,,OBJ > PP1,16,YES,Y,TRUE,YES,15,16EQN,15.16EQN_Y,2,NO,OBJ > PP1,1X
PP1,NO,15-2-1,TRUE,NO,NONE,,PP1,2,YES,X,TRUE,YES,15,2EQY,15.2EQY_X,1,NO,PP1 ,1X
PP1,YES,15-2-2,TRUE,NO,OBJ,,PP1 > OBJ,2,YES,Y,TRUE,YES,15,2EQY,15.2EQY_Y,2,NO,PP1 > OBJ,1X
PP1,NO,15-3-1,TRUE,NO,NONE,,PP1,3,YES,X,TRUE,YES,15,3EQY,15.3EQY_X,1,NO,PP1 ,1X
PP1,YES,15-3-2,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,Y,TRUE,YES,15,3EQY,15.3EQY_Y,2,NO,PP1 > OBJ,1X
OBJ,YES,15-4-1,FALSE,NO,PP1,,OBJ > PP1,4,YES,X,TRUE,YES,15,4EQN,15.4EQN_X,1,NO,OBJ > PP1,1X
PP1,YES,15-4-2,FALSE,YES,V,,PP1 > OBJ,4,YES,Y,TRUE,YES,15,4EQN,15.4EQN_Y,2,NO,PP1 > V OBJ,1X
PP1,NO,15-5-1,TRUE,NO,NONE,,PP1,5,YES,X,TRUE,YES,15,5EQY,15.5EQY_X,1,NO,PP1 ,1X
PP1,NO,15-5-2,TRUE,NO,NONE,,PP1,5,YES,Y,TRUE,YES,15,5EQY,15.5EQY_Y,2,NO,PP1 ,1X
PP1,NO,15-6-1,FALSE,NO,NONE,,PP1,6,YES,X,TRUE,YES,15,6EQN,15.6EQN_X,1,NO,PP1 ,1X
PP1,NO,15-6-2,FALSE,NO,NONE,,PP1,6,YES,Y,TRUE,YES,15,6EQN,15.6EQN_Y,2,NO,PP1 ,1X
OBJ,YES,15-7-1,FALSE,NO,NONE,,OBJ,7,NO,X,FALSE,NO,15,7EDN,15.7EDN_X,1,NO,OBJ ,1X
PP1,NO,15-7-2,FALSE,NO,NONE,,PP1,7,YES,Y,FALSE,NO,15,7EDN,15.7EDN_Y,2,NO,PP1 ,1X
PP1,YES,15-8-1,FALSE,NO,OBJ,,PP1 > OBJ,8,YES,X,FALSE,NO,15,8EDN,15.8EDN_X,1,NO,PP1 > OBJ,1X
PP1,NO,15-8-2,FALSE,NO,NONE,,PP1,8,YES,Y,FALSE,NO,15,8EDN,15.8EDN_Y,2,NO,PP1 ,1X
PP1,YES,15-9-1,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,X,FALSE,NO,15,9EDY,15.9EDY_X,1,NO,PP1 > OBJ,1X
PP1,NO,15-9-2,TRUE,NO,NONE,,PP1,9,YES,Y,FALSE,NO,15,9EDY,15.9EDY_Y,2,NO,PP1 ,1X
PP1,YES,16-1-1,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,X,TRUE,YES,16,1EQN,1EQN,1,NO,PP1 > OBJ,1X
PP1,YES,16-1-2,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,Y,TRUE,YES,16,1EQN,1EQN,2,NO,PP1 > OBJ,1X
OBJ,YES,16-10-1,FALSE,NO,PP1,,OBJ > PP1,10,YES,X,FALSE,NO,16,10EDN,10EDN,1,NO,OBJ > PP1,1X
OBJ,YES,16-10-2,FALSE,NO,NONE,,OBJ,10,NO,Y,FALSE,NO,16,10EDN,10EDN,2,NO,OBJ ,1X
OBJ,YES,16-11-1,TRUE,NO,PP1,,OBJ > PP1,11,YES,X,TRUE,YES,16,11EQY,11EQY,1,NO,OBJ > PP1,1X
PP1,YES,16-11-2,TRUE,NO,OBJ,,PP1 > OBJ,11,YES,Y,TRUE,YES,16,11EQY,11EQY,2,NO,PP1 > OBJ,1X
PP1,YES,16-12-1,FALSE,NO,OBJ,,PP1 > OBJ,12,YES,X,TRUE,YES,16,12EQN,12EQN,1,NO,PP1 > OBJ,1X
OBJ,YES,16-12-2,FALSE,NO,PP1,,OBJ > PP1,12,YES,Y,TRUE,YES,16,12EQN,12EQN,2,NO,OBJ > PP1,1X
PP1,YES,16-13-1,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,X,TRUE,YES,16,13EQY,13EQY,1,NO,PP1 > OBJ,1X
PP1,YES,16-13-2,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,Y,TRUE,YES,16,13EQY,13EQY,2,NO,PP1 > OBJ,1X
PP1,NO,16-14-1,TRUE,YES,V,,PP1,14,YES,X,FALSE,NO,16,14EDY,14EDY,1,NO,PP1 > V,1X
OBJ,YES,16-14-2,TRUE,NO,PP1,,OBJ > PP1,14,YES,Y,FALSE,NO,16,14EDY,14EDY,2,NO,OBJ > PP1,1X
OBJ,YES,16-15-1,FALSE,NO,NONE,,OBJ,15,NO,X,TRUE,YES,16,15EQN,15EQN,1,NO,OBJ ,1X
OBJ,YES,16-15-2,FALSE,NO,PP1,,OBJ > PP1,15,YES,Y,TRUE,YES,16,15EQN,15EQN,2,NO,OBJ > PP1,1X
PP1,YES,16-16-1,TRUE,NO,OBJ,,PP1 > OBJ,16,YES,X,FALSE,NO,16,16EDY,16EDY,1,NO,PP1 > OBJ,1X
PP1,YES,16-16-2,TRUE,NO,OBJ,,PP1 > OBJ,16,YES,Y,FALSE,NO,16,16EDY,16EDY,2,NO,PP1 > OBJ,1X
PP1,NO,16-2-1,FALSE,NO,NONE,,PP1,2,YES,X,FALSE,NO,16,2EDN,2EDN,1,NO,PP1 ,1X
PP1,NO,16-2-2,FALSE,NO,NONE,,PP1,2,YES,Y,FALSE,NO,16,2EDN,2EDN,2,NO,PP1 ,1X
PP1,NO,16-3-1,FALSE,YES,V,,PP1,3,YES,X,FALSE,NO,16,3EDN,3EDN,1,NO,PP1 > V,1X
OBJ,YES,16-3-2,FALSE,NO,PP1,PP2,OBJ > PP1,3,YES,Y,FALSE,NO,16,3EDN,3EDN,2,YES,OBJ > PP1,1X
OBJ,YES,16-4-1,TRUE,NO,PP1,PP2,OBJ > PP1,4,YES,X,FALSE,NO,16,4EDY,4EDY,1,YES,OBJ > PP1,1X
PP1,YES,16-4-2,TRUE,YES,V,,PP1 > OBJ,4,YES,Y,FALSE,NO,16,4EDY,4EDY,2,NO,PP1 > V OBJ,1X
OBJ,YES,16-5-1,FALSE,NO,NONE,,OBJ,5,NO,X,FALSE,NO,16,5EDN,5EDN,1,NO,OBJ ,1X
OBJ,YES,16-5-2,FALSE,NO,NONE,,OBJ,5,NO,Y,FALSE,NO,16,5EDN,5EDN,2,NO,OBJ ,1X
PP1,NO,16-6-1,TRUE,YES,V,,PP1,6,YES,X,FALSE,NO,16,6EDY,6EDY,1,NO,PP1 > V,1X
OBJ,YES,16-6-2,TRUE,NO,PP1,,OBJ > PP1,6,YES,Y,FALSE,NO,16,6EDY,6EDY,2,NO,OBJ > PP1,1X
PP1,NO,16-7-1,TRUE,NO,NONE,,PP1,7,YES,X,TRUE,YES,16,7EQY,7EQY,1,NO,PP1 ,1X
PP1,YES,16-7-2,TRUE,NO,OBJ,,PP1 > OBJ,7,YES,Y,TRUE,YES,16,7EQY,7EQY,2,NO,PP1 > OBJ,1X
PP1,NO,16-8-1,TRUE,NO,NONE,,PP1,8,YES,X,TRUE,NO,16,8EQY,8EQY,1,NO,PP1 ,1X
PP1,YES,16-8-2,TRUE,NO,OBJ,,PP1 > OBJ,8,YES,Y,TRUE,YES,16,8EQY,8EQY,2,NO,PP1 > OBJ,1X
OBJ,YES,16-9-1,FALSE,NO,NONE,,OBJ,9,NO,X,TRUE,YES,16,9EQN,9EQN,1,NO,OBJ ,1X
OBJ,YES,16-9-2,FALSE,NO,PP1,,OBJ > PP1,9,YES,Y,TRUE,YES,16,9EQN,9EQN,2,NO,OBJ > PP1,1X
OBJ,YES,17-1-1,FALSE,NO,PP1,,OBJ > PP1,1,YES,X,FALSE,NO,17,1EDN,17.1EDN_X,1,NO,OBJ > PP1,16Y
PP1,YES,17-1-2,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,Y,FALSE,NO,17,1EDN,17.1EDN_Y,2,NO,PP1 > OBJ,16Y
PP1,NO,17-10-1,FALSE,NO,NONE,PP2,PP1,10,YES,X,TRUE,NO,17,10EQN,17.10EQN_X,1,YES,PP1 ,16Y
OBJ,YES,17-10-2,FALSE,NO,NONE,,OBJ,10,NO,Y,TRUE,YES,17,10EQN,17.10EQN_Y,2,NO,OBJ ,16Y
PP1,NO,17-11-1,TRUE,NO,NONE,,PP1,11,YES,X,FALSE,NO,17,11EDY,17.11EDY_X,1,NO,PP1 ,16Y
PP1,YES,17-11-2,TRUE,NO,OBJ,,PP1 > OBJ,11,YES,Y,FALSE,NO,17,11EDY,17.11EDY_Y,2,NO,PP1 > OBJ,16Y
PP1,NO,17-12-1,FALSE,NO,NONE,,PP1,12,YES,X,FALSE,YES,17,12EDN,17.12EDN_X,1,NO,PP1 ,16Y
PP1,NO,17-12-2,FALSE,YES,V,,PP1,12,YES,Y,FALSE,NO,17,12EDN,17.12EDN_Y,2,NO,PP1 > V,16Y
OBJ,YES,17-13-1,TRUE,NO,PP1,,OBJ > PP1,13,YES,X,FALSE,NO,17,13EDY,17.13EDY_X,1,NO,OBJ > PP1,16Y
PP1,YES,17-13-2,TRUE,YES,V,,PP1 > OBJ,13,YES,Y,FALSE,NO,17,13EDY,17.13EDY_Y,2,NO,PP1 > V OBJ,16Y
PP1,YES,17-14-1,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,X,TRUE,NO,17,14EQY,17.14EQY_X,1,NO,PP1 > OBJ,16Y
PP1,YES,17-14-2,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,Y,TRUE,YES,17,14EQY,17.14EQY_Y,2,NO,PP1 > OBJ,16Y
OBJ,YES,17-15-1,FALSE,NO,NONE,,OBJ,15,NO,X,FALSE,NO,17,15EDN,17.15EDN_X,1,NO,OBJ ,16Y
PP1,YES,17-15-2,FALSE,NO,OBJ,,PP1 > OBJ,15,YES,Y,FALSE,NO,17,15EDN,17.15EDN_Y,2,NO,PP1 > OBJ,16Y
OBJ,YES,17-16-1,TRUE,NO,PP1,,OBJ > PP1,16,YES,X,TRUE,YES,17,16EQY,17.16EQY_X,1,NO,OBJ > PP1,16Y
OBJ,YES,17-16-2,TRUE,NO,NONE,,OBJ,16,NO,Y,TRUE,YES,17,16EQY,17.16EQY_Y,2,NO,OBJ ,16Y
PP1,YES,17-2-1,FALSE,NO,OBJ,,PP1 > OBJ,2,YES,X,TRUE,YES,17,2EQN,17.2EQN_X,1,NO,PP1 > OBJ,16Y
PP1,YES,17-2-2,FALSE,YES,V,,PP1 > OBJ,2,YES,Y,TRUE,YES,17,2EQN,17.2EQN_Y,2,NO,PP1 > V OBJ,16Y
OBJ,YES,17-3-1,FALSE,NO,NONE,,OBJ,3,NO,X,TRUE,NO,17,3EQN,17.3EQN_X,1,NO,OBJ ,16Y
OBJ,YES,17-3-2,FALSE,NO,NONE,,OBJ,3,NO,Y,TRUE,YES,17,3EQN,17.3EQN_Y,2,NO,OBJ ,16Y
PP1,YES,17-4-1,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,X,TRUE,YES,17,4EQY,17.4EQY_X,1,NO,PP1 > OBJ,16Y
OBJ,YES,17-4-2,TRUE,NO,PP1,,OBJ > PP1,4,YES,Y,TRUE,YES,17,4EQY,17.4EQY_Y,2,NO,OBJ > PP1,16Y
OBJ,YES,17-5-1,FALSE,NO,NONE,,OBJ,5,NO,X,TRUE,YES,17,5EQN,17.5EQN_X,1,NO,OBJ ,16Y
OBJ,YES,17-5-2,FALSE,NO,NONE,,OBJ,5,NO,Y,TRUE,YES,17,5EQN,17.5EQN_Y,2,NO,OBJ ,16Y
PP1,NO,17-6-1,TRUE,NO,NONE,,PP1,6,YES,X,TRUE,NO,17,6EQY,17.6EQY_X,1,NO,PP1 ,16Y
PP1,YES,17-6-2,TRUE,NO,OBJ,,PP1 > OBJ,6,YES,Y,TRUE,YES,17,6EQY,17.6EQY_Y,2,NO,PP1 > OBJ,16Y
PP1,NO,17-7-1,TRUE,NO,NONE,,PP1,7,YES,X,FALSE,NO,17,7EDY,17.7EDY_X,1,NO,PP1 ,16Y
OBJ,YES,17-7-2,TRUE,NO,PP1,,OBJ > PP1,7,YES,Y,FALSE,NO,17,7EDY,17.7EDY_Y,2,NO,OBJ > PP1,16Y
PP1,YES,17-8-1,TRUE,NO,OBJ,,PP1 > OBJ,8,YES,X,FALSE,NO,17,8EDY,17.8EDY_X,1,NO,PP1 > OBJ,16Y
PP1,YES,17-8-2,TRUE,YES,OBJ,,PP1 > OBJ,8,YES,Y,FALSE,NO,17,8EDY,17.8EDY_Y,2,NO,PP1 > V OBJ,16Y
OBJ,YES,17-9-1,FALSE,NO,PP1,,OBJ > PP1,9,YES,X,FALSE,NO,17,9EDN,17.9EDN_X,1,NO,OBJ > PP1,16Y
NONE,YES,17-9-2,FALSE,NO,NONE,,OBJ PP1,9,YES,Y,FALSE,NO,17,9EDN,17.9EDN_Y,2,NO,OBJ PP1,16Y
PP1,YES,19-1-1,TRUE,NO,OBJ,,PP1 > OBJ,1,YES,X,FALSE,NO,19,1EDY,19.1EDY_X,1,NO,PP1 > OBJ,1X
PP1,YES,19-1-2,TRUE,NO,OBJ,,PP1 > OBJ,1,YES,Y,FALSE,NO,19,1EDY,19.1EDY_Y,2,NO,PP1 > OBJ,1X
PP1,YES,19-10-1,TRUE,NO,OBJ,,PP1 > OBJ,10,YES,X,TRUE,YES,19,10EQY,19.10EQY_X,1,NO,PP1 > OBJ,1X
,YES,19-10-2,TRUE,NO,,,OBJ,10,,Y,TRUE,YES,19,10EQY,19.10EQY_Y,2,,OBJ,1X
NONE,YES,19-11-1,FALSE,NO,NONE,,OBJ PP1,11,YES,X,FALSE,NO,19,11EDN,19.11EDN_X,1,NO,OBJ PP1,1X
,,19-11-2,FALSE,,,,,11,,Y,FALSE,,19,11EDN,19.11EDN_Y,2,,,1X
PP1,YES,19-12-1,TRUE,NO,OBJ,,PP1 > OBJ,12,YES,X,FALSE,NO,19,12EDY,19.12EDY_X,1,NO,PP1 > OBJ,1X
OBJ,YES,19-12-2,TRUE,NO,PP1,,OBJ > PP1,12,YES,Y,FALSE,NO,19,12EDY,19.12EDY_Y,2,NO,OBJ > PP1,1X
OBJ,YES,19-13-1,FALSE,NO,NONE,,OBJ,13,NO,X,FALSE,NO,19,13EDN,19.13EDN_X,1,NO,OBJ ,1X
OBJ,YES,19-13-2,FALSE,NO,PP1,PP1,OBJ > PP1,13,YES,Y,FALSE,NO,19,13EDN,19.13EDN_Y,2,YES,OBJ > PP1,1X
OBJ,YES,19-14-1,TRUE,NO,PP1,,OBJ > PP1,14,YES,X,FALSE,YES,19,14EDY,19.14EDY_X,1,NO,OBJ > PP1,1X
OBJ,YES,19-14-2,FALSE,NO,PP1,,OBJ > PP1,14,YES,Y,TRUE,YES,19,14EQN,19.14EQN_Y,2,NO,OBJ > PP1,1X
PP1,NO,19-15-1,TRUE,NO,NONE,,PP1,15,YES,X,FALSE,NO,19,15EDY,19.15EDY_X,1,NO,PP1 ,1X
PP1,NO,19-15-2,TRUE,NO,NONE,,PP1,15,YES,Y,FALSE,NO,19,15EDY,19.15EDY_Y,2,NO,PP1 ,1X
OBJ,YES,19-16-1,FALSE,NO,PP1,,OBJ > PP1,16,YES,X,TRUE,YES,19,16EQN,19.16EQN_X,1,NO,OBJ > PP1,1X
PP1,NO,19-16-2,FALSE,NO,NONE,,PP1,16,YES,Y,TRUE,YES,19,16EQN,19.16EQN_Y,2,NO,PP1 ,1X
PP1,YES,19-2-1,TRUE,NO,OBJ,,PP1 > OBJ,2,YES,X,TRUE,YES,19,2EQY,19.2EQY_X,1,NO,PP1 > OBJ,1X
,YES,19-2-2,TRUE,NO,,,OBJ,2,,Y,TRUE,YES,19,2EQY,19.2EQY_Y,2,,OBJ,1X
