STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
PP1,YES,19-3-1,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,X,TRUE,YES,19,3EQY,19.3EQY_X,1,NO,PP1 > OBJ,1X
,,19-3-2,TRUE,NO,,,,3,,Y,TRUE,,19,3EQY,19.3EQY_Y,2,,,1X
PP1,YES,19-4-1,FALSE,NO,OBJ,,PP1 > OBJ,4,YES,X,TRUE,YES,19,4EQN,19.4EQN_X,1,NO,PP1 > OBJ,1X
,YES,19-4-2,FALSE,NO,,,OBJ,4,,Y,TRUE,YES,19,4EQN,19.4EQN_Y,2,,OBJ,1X
PP1,YES,19-5-1,TRUE,NO,OBJ,,PP1 > OBJ,5,YES,X,TRUE,YES,19,5EQY,19.5EQY_X,1,NO,PP1 > OBJ,1X
OBJ,YES,19-5-2,TRUE,NO,PP1,,OBJ > PP1,5,YES,Y,TRUE,YES,19,5EQY,19.5EQY_Y,2,NO,OBJ > PP1,1X
OBJ,YES,19-6-1,FALSE,NO,PP1,,OBJ > PP1,6,YES,X,TRUE,YES,19,6EQN,19.6EQN_X,1,NO,OBJ > PP1,1X
PP1,NO,19-6-2,FALSE,NO,NONE,,PP1,6,YES,Y,TRUE,NO,19,6EQN,19.6EQN_Y,2,NO,PP1 ,1X
OBJ,YES,19-7-1,FALSE,NO,PP1,,OBJ > PP1,7,YES,X,FALSE,NO,19,7EDN,19.7EDN_X,1,NO,OBJ > PP1,1X
PP1,NO,19-7-2,FALSE,NO,NONE,,PP1,7,YES,Y,FALSE,NO,19,7EDN,19.7EDN_Y,2,NO,PP1 ,1X
OBJ,YES,19-8-1,FALSE,NO,PP1,,OBJ > PP1,8,YES,X,FALSE,NO,19,8EDN,19.8EDN_X,1,NO,OBJ > PP1,1X
PP1,YES,19-8-2,FALSE,NO,OBJ,,PP1 > OBJ,8,YES,Y,FALSE,NO,19,8EDN,19.8EDN_Y,2,NO,PP1 > OBJ,1X
PP1,YES,19-9-1,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,X,FALSE,NO,19,9EDY,19.9EDY_X,1,NO,PP1 > OBJ,1X
,YES,19-9-2,TRUE,NO,,,OBJ,9,,Y,FALSE,NO,19,9EDY,19.9EDY_Y,2,,OBJ,1X
PP1,YES,2-1-1,TRUE,NO,OBJ,,PP1 > OBJ,1,YES,X,TRUE,YES,2,1EQY,2.1EQY_X,1,NO,PP1 > OBJ,1Y
PP1,NO,2-1-2,TRUE,NO,NONE,,PP1,1,YES,Y,TRUE,YES,2,1EQY,2.1EQY_Y,2,NO,PP1 ,1Y
PP1,NO,2-10-1,TRUE,NO,NONE,,PP1,10,YES,X,FALSE,NO,2,10EDY,2.10EDY_X,1,NO,PP1 ,1Y
PP1,NO,2-10-2,TRUE,NO,NONE,,PP1,10,YES,Y,FALSE,NO,2,10EDY,2.10EDY_Y,2,NO,PP1 ,1Y
OBJ,YES,2-11-1,FALSE,NO,PP1,,OBJ > PP1,11,YES,X,TRUE,YES,2,11EQN,2.11EQN_X,1,NO,OBJ > PP1,1Y
OBJ,YES,2-11-2,FALSE,NO,NONE,,OBJ,11,NO,Y,TRUE,YES,2,11EQN,2.11EQN_Y,2,NO,OBJ ,1Y
PP1,NO,2-12-1,TRUE,NO,NONE,,PP1,12,YES,X,TRUE,YES,2,12EQY,2.12EQY_X,1,NO,PP1 ,1Y
PP1,NO,2-12-2,TRUE,NO,NONE,,PP1,12,YES,Y,TRUE,YES,2,12EQY,2.12EQY_Y,2,NO,PP1 ,1Y
OBJ,YES,2-13-1,FALSE,NO,NONE,,OBJ,13,NO,X,TRUE,YES,2,13EQN,2.13EQN_X,1,NO,OBJ ,1Y
OBJ,YES,2-13-2,FALSE,NO,NONE,,OBJ,13,NO,Y,TRUE,YES,2,13EQN,2.13EQN_X,2,NO,OBJ ,1Y
OBJ,YES,2-14-1,FALSE,NO,NONE,,OBJ,14,NO,X,FALSE,NO,2,14EDN,2.14EDN_X,1,NO,OBJ ,1Y
OBJ,YES,2-14-2,FALSE,NO,NONE,,OBJ,14,NO,Y,FALSE,NO,2,14EDN,2.14EDN_Y,2,NO,OBJ ,1Y
PP1,YES,2-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,TRUE,YES,2,15EQY,2.15EQY_X,1,NO,PP1 > OBJ,1Y
OBJ,YES,2-15-2,TRUE,NO,PP1,,OBJ > PP1,15,YES,Y,TRUE,YES,2,15EQY,2.15EQY_Y,2,NO,OBJ > PP1,1Y
OBJ,YES,2-16-1,FALSE,NO,NONE,,OBJ,16,NO,X,FALSE,NO,2,16EDN,2.16EDN_X,1,NO,OBJ ,1Y
PP1,NO,2-16-2,FALSE,YES,V,,PP1,16,YES,Y,FALSE,NO,2,16END,2.16END_Y,2,NO,PP1 > V,1Y
PP1,NO,2-2-1,TRUE,NO,NONE,,PP1,2,YES,X,FALSE,NO,2,2EDY,2.2EDY_X,1,NO,PP1 ,1Y
PP1,NO,2-2-2,TRUE,NO,NONE,,PP1,2,YES,Y,FALSE,NO,2,2EDY,2.2EDY_Y,2,NO,PP1 ,1Y
PP1,NO,2-3-1,TRUE,NO,NONE,,PP1,3,YES,X,FALSE,NO,2,3EDY,2.3EDY_X,1,NO,PP1 ,1Y
OBJ,YES,2-3-2,TRUE,NO,PP1,,OBJ > PP1,3,YES,Y,FALSE,NO,2,3EDY,2.3EDY_Y,2,NO,OBJ > PP1,1Y
OBJ,YES,2-4-1,FALSE,NO,NONE,,OBJ,4,NO,X,FALSE,NO,2,4EDN,2.4EDN_X,1,NO,OBJ ,1Y
OBJ,YES,2-4-2,FALSE,YES,V,,OBJ,4,NO,Y,FALSE,NO,2,4EDN,2.4EDN_Y,2,NO,OBJ > V,1Y
PP1,NO,2-5-1,TRUE,NO,NONE,,PP1,5,YES,X,FALSE,NO,2,5EDY,2.5EDY_X,1,NO,PP1 ,1Y
OBJ,YES,2-5-2,TRUE,NO,NONE,,OBJ,5,NO,Y,FALSE,NO,2,5EDY,2.5EDY_Y,2,NO,OBJ ,1Y
PP1,NO,2-6-1,FALSE,NO,NONE,,PP1,6,YES,X,FALSE,NO,2,6EDN,2.6EDN_X,1,NO,PP1 ,1Y
OBJ,YES,2-6-2,FALSE,NO,PP1,,OBJ > PP1,6,YES,Y,FALSE,NO,2,6EDN,2.6EDN_Y,2,NO,OBJ > PP1,1Y
OBJ,YES,2-7-1,FALSE,NO,PP1,,OBJ > PP1,7,YES,X,TRUE,YES,2,7EQN,2.7EQN_X,1,NO,OBJ > PP1,1Y
V,NO,2-7-2,FALSE,YES,NONE,,,7,NO,Y,TRUE,YES,2,7EQN,2.7EQN_Y,2,NO,V ,1Y
OBJ,YES,2-8-1,FALSE,NO,NONE,,OBJ,8,NO,X,TRUE,YES,2,8EQN,2.8EQN_X,1,NO,OBJ ,1Y
OBJ,YES,2-8-2,FALSE,NO,PP1,,OBJ > PP1,8,YES,Y,TRUE,YES,2,8EQN,2.8EQN_Y,2,NO,OBJ > PP1,1Y
PP1,YES,2-9-1,TRUE,NO,OBJ,PP2,PP1 > OBJ,9,YES,X,TRUE,YES,2,9EQY,2.9EQY_X,1,YES,PP1 > OBJ,1Y
PP1,YES,2-9-2,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,Y,TRUE,YES,2,9EQY,2.9EQY_Y,2,NO,PP1 > OBJ,1Y
OBJ,YES,20-1-1,FALSE,NO,NONE,,OBJ,1,NO,X,TRUE,YES,20,1EQN,1EQN,1,NO,OBJ ,16X
PP1,YES,20-1-2,FALSE,YES,OBJ,,PP1 > OBJ,1,YES,Y,TRUE,YES,20,1EQN,1EQN,2,NO,PP1 > V OBJ,16X
OBJ,YES,20-10-1,FALSE,NO,NONE,,OBJ,10,NO,X,FALSE,NO,20,10EDN,10EDN,1,NO,OBJ ,16X
OBJ,YES,20-10-2,FALSE,YES,V,,OBJ,10,NO,Y,FALSE,NO,20,10EDN,10EDN,2,NO,OBJ > V,16X
NONE,YES,20-11-1,TRUE,NO,NONE,,OBJ PP1,11,YES,X,TRUE,YES,20,11EQY,11EQY,1,NO,OBJ PP1,16X
OBJ,YES,20-11-2,TRUE,NO,PP1,,OBJ > PP1,11,YES,Y,TRUE,YES,20,11EQY,11EQY,2,NO,OBJ > PP1,16X
OBJ,YES,20-12-1,FALSE,NO,NONE,,OBJ,12,NO,X,TRUE,YES,20,12EQN,12EQN,1,NO,OBJ ,16X
OBJ,YES,20-12-2,FALSE,NO,PP1,,OBJ > PP1,12,YES,Y,TRUE,YES,20,12EQN,12EQN,2,NO,OBJ > PP1,16X
PP1,YES,20-13-1,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,X,TRUE,YES,20,13EQY,13EQY,1,NO,PP1 > OBJ,16X
PP1,YES,20-13-2,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,Y,TRUE,YES,20,13EQY,13EQY,2,NO,PP1 > OBJ,16X
PP1,NO,20-14-1,TRUE,NO,NONE,,PP1,14,YES,X,FALSE,NO,20,14EDY,14EDY,1,NO,PP1 ,16X
OBJ,YES,20-14-2,TRUE,NO,PP1,,OBJ > PP1,14,YES,Y,FALSE,NO,20,14EDY,14EDY,2,NO,OBJ > PP1,16X
OBJ,YES,20-15-1,FALSE,NO,PP1,,OBJ > PP1,15,YES,X,TRUE,YES,20,15EQN,15EQN,1,NO,OBJ > PP1,16X
PP1,NO,20-15-2,FALSE,NO,NONE,,PP1,15,YES,Y,TRUE,YES,20,15EQN,15EQN,2,NO,PP1 ,16X
PP1,NO,20-16-1,TRUE,NO,NONE,,PP1,16,YES,X,FALSE,NO,20,16EDY,16EDY,1,NO,PP1 ,16X
OBJ,YES,20-16-2,TRUE,NO,PP1,,OBJ > PP1,16,YES,Y,FALSE,NO,20,16EDY,16EDY,2,NO,OBJ > PP1,16X
PP1,YES,20-2-1,FALSE,NO,OBJ,,PP1 > OBJ,2,YES,X,FALSE,NO,20,2EDN,2EDN,1,NO,PP1 > OBJ,16X
OBJ,YES,20-2-2,FALSE,NO,PP1,,OBJ > PP1,2,YES,Y,FALSE,NO,20,2EDN,2EDN,2,NO,OBJ > PP1,16X
OBJ,YES,20-3-1,FALSE,NO,PP1,,OBJ > PP1,3,YES,X,FALSE,NO,20,3EDN,3EDN,1,NO,OBJ > PP1,16X
PP1,YES,20-3-2,FALSE,NO,OBJ,,PP1 > OBJ,3,YES,Y,FALSE,NO,20,3EDN,3EDN,2,NO,PP1 > OBJ,16X
PP1,YES,20-4-1,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,X,FALSE,NO,20,4EDY,4EDY,1,NO,PP1 > OBJ,16X
PP1,YES,20-4-2,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,Y,FALSE,NO,20,4EDY,4EDY,2,NO,PP1 > OBJ,16X
OBJ,YES,20-5-1,FALSE,NO,NONE,,OBJ,5,NO,X,FALSE,NO,20,5EDN,5EDN,1,NO,OBJ ,16X
OBJ,YES,20-5-2,FALSE,NO,NONE,,OBJ,5,NO,Y,FALSE,NO,20,5EDN,5EDN,2,NO,OBJ ,16X
PP1,YES,20-6-1,TRUE,NO,OBJ,,PP1 > OBJ,6,YES,X,FALSE,NO,20,6EDY,6EDY,1,NO,PP1 > OBJ,16X
PP1,YES,20-6-2,TRUE,NO,OBJ,,PP1 > OBJ,6,YES,Y,FALSE,NO,20,6EDY,6EDY,2,NO,PP1 > OBJ,16X
PP1,NO,20-7-1,TRUE,NO,NONE,,PP1,7,YES,X,TRUE,YES,20,7EQY,7EQY,1,NO,PP1 ,16X
PP1,YES,20-7-2,TRUE,NO,OBJ,,PP1 > OBJ,7,YES,Y,TRUE,YES,20,7EQY,7EQY,2,NO,PP1 > OBJ,16X
PP1,YES,20-8-1,TRUE,NO,OBJ,,PP1 > OBJ,8,YES,X,TRUE,YES,20,8EQY,8EQY,1,NO,PP1 > OBJ,16X
PP1,YES,20-8-2,TRUE,NO,OBJ,,PP1 > OBJ,8,YES,Y,TRUE,NO,20,8EQY,8EQY,2,NO,PP1 > OBJ,16X
OBJ,YES,20-9-1,FALSE,NO,NONE,,OBJ,9,NO,X,TRUE,YES,20,9EQN,9EQN,1,NO,OBJ ,16X
OBJ,YES,20-9-2,FALSE,NO,NONE,,OBJ,9,NO,Y,TRUE,YES,20,9EQN,9EQN,2,NO,OBJ ,16X
PP1,YES,201-1-1,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,Y,FALSE,NO,201,1EDN,1EDN,1,NO,PP1 > OBJ,1Y
PP1,YES,201-1-2,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,X,FALSE,NO,201,1EDN,1EDN,2,NO,PP1 > OBJ,1Y
NONE,YES,201-10-1,FALSE,NO,NONE,,OBJ PP1,10,YES,Y,TRUE,YES,201,10EQN,10EQN,1,NO,OBJ PP1,1Y
OBJ,YES,201-10-2,FALSE,NO,NONE,,OBJ,10,NO,X,TRUE,YES,201,10EQN,10EQN,2,NO,OBJ ,1Y
NONE,YES,201-11-1,TRUE,NO,NONE,,OBJ PP1,11,YES,Y,FALSE,NO,201,11EDY,11EDY,1,NO,OBJ PP1,1Y
PP1,YES,201-11-2,TRUE,NO,OBJ,,PP1 > OBJ,11,YES,X,FALSE,NO,201,11EDY,11EDY,2,NO,PP1 > OBJ,1Y
PP1,NO,201-12-1,FALSE,YES,V,,PP1,12,YES,Y,FALSE,NO,201,12EDN,12EDN,1,NO,PP1 > V,1Y
PP1,NO,201-12-2,FALSE,YES,V,,PP1,12,YES,X,FALSE,NO,201,12EDN,12EDN,2,NO,PP1 > V,1Y
PP1,NO,201-13-1,TRUE,YES,V,OBJ,PP1,13,YES,Y,FALSE,NO,201,13EDY,13EDY,1,YES,PP1 > V,1Y
PP1,YES,201-13-2,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,X,FALSE,NO,201,13EDY,13EDY,2,NO,PP1 > OBJ,1Y
PP1,YES,201-14-1,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,Y,TRUE,YES,201,14EQY,14EQY,1,NO,PP1 > OBJ,1Y
PP1,YES,201-14-2,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,X,TRUE,YES,201,14EQY,14EQY,2,NO,PP1 > OBJ,1Y
PP1,YES,201-15-1,FALSE,YES,V,,PP1 > OBJ,15,YES,Y,FALSE,NO,201,15EDN,15EDN,1,NO,PP1 > V OBJ,1Y
OBJ,YES,201-15-2,FALSE,NO,PP1,,OBJ > PP1,15,YES,X,FALSE,NO,201,15EDN,15EDN,2,NO,OBJ > PP1,1Y
PP1,YES,201-16-1,TRUE,NO,OBJ,,PP1 > OBJ,16,YES,Y,TRUE,YES,201,16EQY,16EQY,1,NO,PP1 > OBJ,1Y
PP1,YES,201-16-2,TRUE,YES,V,,PP1 > OBJ,16,YES,X,TRUE,YES,201,16EQY,16EQY,2,NO,PP1 > V OBJ,1Y
PP1,NO,201-2-1,FALSE,NO,NONE,,PP1,2,YES,Y,TRUE,YES,201,2EQN,2EQN,1,NO,PP1 ,1Y
PP1,NO,201-2-2,FALSE,NO,NONE,,PP1,2,YES,X,TRUE,YES,201,2EQN,2EQN,2,NO,PP1 ,1Y
PP1,NO,201-3-1,FALSE,NO,OBJ,PP2,PP1 > OBJ,3,YES,Y,TRUE,NO,201,3EQN,3EQN,1,YES,PP1 > OBJ,1Y
PP1,YES,201-3-2,FALSE,NO,OBJ,,PP1 > OBJ,3,YES,X,TRUE,YES,201,3EQN,3EQN,2,NO,PP1 > OBJ,1Y
PP1,NO,201-4-1,TRUE,NO,NONE,,PP1,4,YES,Y,TRUE,YES,201,4EQY,4EQY,1,NO,PP1 ,1Y
PP1,YES,201-4-2,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,X,TRUE,YES,201,4EQY,4EQY,2,NO,PP1 > OBJ,1Y
OBJ,YES,201-5-1,FALSE,NO,PP1,,OBJ > PP1,5,YES,Y,TRUE,YES,201,5EQN,5EQN,1,NO,OBJ > PP1,1Y
OBJ,YES,201-5-2,FALSE,NO,PP1,,OBJ > PP1,5,YES,X,TRUE,YES,201,5EQN,5EQN,2,NO,OBJ > PP1,1Y
PP1,NO,201-6-1,TRUE,NO,NONE,,PP1,6,YES,Y,TRUE,YES,201,6EQY,6EQY,1,NO,PP1 ,1Y
PP1,NO,201-6-2,TRUE,NO,NONE,,PP1,6,YES,X,TRUE,YES,201,6EQY,6EQY,2,NO,PP1 ,1Y
PP1,NO,201-7-1,TRUE,NO,NONE,,PP1,7,YES,Y,FALSE,NO,201,7EDY,7EDY,1,NO,PP1 ,1Y
PP1,NO,201-7-2,TRUE,NO,NONE,,PP1,7,YES,X,FALSE,NO,201,7EDY,7EDY,2,NO,PP1 ,1Y
PP1,YES,201-8-1,TRUE,NO,OBJ,,PP1 > OBJ,8,YES,Y,FALSE,NO,201,8EDY,8EDY,1,NO,PP1 > OBJ,1Y
PP1,NO,201-8-2,TRUE,NO,NONE,,PP1,8,YES,X,FALSE,NO,201,8EDY,8EDY,2,NO,PP1 ,1Y
OBJ,YES,201-9-1,FALSE,NO,PP1,,OBJ > PP1,9,YES,Y,FALSE,NO,201,9EDN,9EDN,1,NO,OBJ > PP1,1Y
PP1,YES,201-9-2,FALSE,NO,OBJ,,PP1 > OBJ,9,YES,X,FALSE,NO,201,9EDN,9EDN,2,NO,PP1 > OBJ,1Y
PP1,YES,202-1-1,TRUE,NO,OBJ,,PP1 > OBJ,1,YES,Y,TRUE,YES,202,1EQY,1EQY,1,NO,PP1 > OBJ,16X
V,YES,202-1-2,TRUE,YES,PP1,,OBJ PP1,1,YES,X,TRUE,YES,202,1EQY,1EQY,2,NO,V > OBJ PP1,16X
PP1,YES,202-10-1,TRUE,NO,OBJ,,PP1 > OBJ,10,YES,Y,FALSE,NO,202,10EDY,10EDY,1,NO,PP1 > OBJ,16X
OBJ,YES,202-10-2,TRUE,YES,V,,OBJ > PP1,10,YES,X,FALSE,NO,202,10EDY,10EDY,2,NO,OBJ > V PP1,16X
PP1,YES,202-12-1,TRUE,NO,OBJ,,PP1 > OBJ,12,YES,Y,TRUE,NO,202,12EQY,12EQY,1,NO,PP1 > OBJ,16X
OBJ,YES,202-12-2,TRUE,NO,PP1,,OBJ > PP1,12,YES,X,TRUE,YES,202,12EQY,12EQY,2,NO,OBJ > PP1,16X
PP1,NO,202-13-1,FALSE,NO,NONE,,PP1,13,YES,Y,TRUE,YES,202,13EQN,13EQN,1,NO,PP1 ,16X
PP1,YES,202-13-2,FALSE,NO,OBJ,,PP1 > OBJ,13,YES,X,TRUE,YES,202,13EQN,13EQN,2,NO,PP1 > OBJ,16X
OBJ,YES,202-14-1,FALSE,NO,PP1,,OBJ > PP1,14,YES,Y,FALSE,NO,202,14EDN,14EDN,1,NO,OBJ > PP1,16X
OBJ,YES,202-14-2,FALSE,NO,NONE,,OBJ,14,NO,X,FALSE,NO,202,14EDN,14EDN,2,NO,OBJ ,16X
PP1,YES,202-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,Y,TRUE,YES,202,15EQY,15EQY,1,NO,PP1 > OBJ,16X
PP1,YES,202-15-2,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,TRUE,YES,202,15EQY,15EQY,2,NO,PP1 > OBJ,16X
PP1,NO,202-16-1,FALSE,NO,NONE,,PP1,16,YES,Y,FALSE,NO,202,16EDN,16EDN,1,NO,PP1 ,16X
PP1,NO,202-16-2,FALSE,NO,NONE,,PP1,16,YES,X,FALSE,NO,202,16EDN,16EDN,2,NO,PP1 ,16X
PP1,NO,202-2-1,TRUE,NO,NONE,,PP1,2,YES,Y,FALSE,NO,202,2EDY,2EDY,1,NO,PP1 ,16X
OBJ,YES,202-2-2,TRUE,NO,PP1,,OBJ > PP1,2,YES,X,FALSE,NO,202,2EDY,2EDY,2,NO,OBJ > PP1,16X
PP1,NO,202-3-1,TRUE,NO,NONE,PP2,PP1,3,YES,Y,FALSE,NO,202,3EDY,3EDY,1,YES,PP1 ,16X
PP1,YES,202-3-2,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,X,FALSE,NO,202,3EDY,3EDY,2,NO,PP1 > OBJ,16X
PP1,YES,202-4-1,FALSE,NO,OBJ,,PP1 > OBJ,4,YES,Y,FALSE,NO,202,4EDN,4EDN,1,NO,PP1 > OBJ,16X
PP1,YES,202-4-2,FALSE,NO,OBJ,,PP1 > OBJ,4,YES,X,FALSE,NO,202,4EDN,4EDN,2,NO,PP1 > OBJ,16X
PP1,NO,202-5-1,TRUE,NO,NONE,,PP1,5,YES,Y,FALSE,NO,202,5EDY,5EDY,1,NO,PP1 ,16X
OBJ,YES,202-5-2,TRUE,YES,V,,OBJ > PP1,5,YES,X,FALSE,NO,202,5EDY,5EDY,2,NO,OBJ > V PP1,16X
PP1,YES,202-7-1,FALSE,NO,OBJ,,PP1 > OBJ,7,YES,Y,TRUE,YES,202,7EQN,7EQN,1,NO,PP1 > OBJ,16X
NONE,YES,202-7-2,FALSE,NO,NONE,,OBJ PP1,7,YES,X,TRUE,YES,202,7EQN,7EQN,2,NO,OBJ PP1,16X
PP1,NO,202-8-1,FALSE,NO,NONE,PP1,PP1,8,YES,Y,TRUE,YES,202,8EQN,8EQN,1,YES,PP1 ,16X
OBJ,YES,202-8-2,FALSE,NO,NONE,,OBJ,8,NO,X,TRUE,YES,202,8EQN,8EQN,2,NO,OBJ ,16X
OBJ,YES,202-9-1,TRUE,YES,V,,OBJ > PP1,9,YES,Y,TRUE,NO,202,9EQY,9EQY,1,NO,OBJ > V PP1,16X
OBJ,YES,202-9-2,TRUE,NO,PP1,,OBJ > PP1,9,YES,X,TRUE,NO,202,9EQY,9EQY,2,NO,OBJ > PP1,16X
PP1,NO,203-1-1,TRUE,NO,NONE,,PP1,1,YES,Y,FALSE,NO,203,1EDY,1EDY,1,NO,PP1 ,16X
PP1,NO,203-1-2,TRUE,NO,NONE,,PP1,1,YES,X,FALSE,NO,203,1EDY,1EDY,2,NO,PP1 ,16X
PP1,YES,203-10-1,TRUE,NO,OBJ,,PP1 > OBJ,10,YES,Y,TRUE,YES,203,10EQY,10EQY,1,NO,PP1 > OBJ,16X
PP1,YES,203-10-2,TRUE,NO,OBJ,,PP1 > OBJ,10,YES,X,TRUE,YES,203,10EQY,10EQY,2,NO,PP1 > OBJ,16X
OBJ,YES,203-11-1,FALSE,NO,NONE,,OBJ,11,NO,Y,FALSE,NO,203,11EDN,11EDN,1,NO,OBJ ,16X
NONE,YES,203-11-2,FALSE,NO,NONE,,OBJ PP1,11,YES,X,FALSE,NO,203,11EDN,11EDN,2,NO,OBJ PP1,16X
PP1,NO,203-12-1,TRUE,NO,NONE,,PP1,12,YES,Y,FALSE,NO,203,12EDY,12EDY,1,NO,PP1 ,16X
PP1,NO,203-12-2,TRUE,NO,NONE,,PP1,12,YES,X,FALSE,NO,203,12EDY,12EDY,2,NO,PP1 ,16X
OBJ,YES,203-13-1,FALSE,NO,NONE,,OBJ,13,NO,Y,FALSE,NO,203,13EDN,13EDN,1,NO,OBJ ,16X
OBJ,YES,203-13-2,FALSE,NO,NONE,,OBJ,13,NO,X,FALSE,NO,203,13EDN,13EDN,2,NO,OBJ ,16X
OBJ,YES,203-14-1,FALSE,NO,NONE,,OBJ,14,NO,Y,TRUE,YES,203,14EQN,14EQN,1,NO,OBJ ,16X
PP1,YES,203-14-2,FALSE,NO,NONE,,PP1 > OBJ,14,YES,X,TRUE,YES,203,14EQN,14EQN,2,NO,PP1 > OBJ,16X
PP1,NO,203-15-1,TRUE,NO,NONE,,PP1,15,YES,Y,FALSE,NO,203,15EDY,15EDY,1,NO,PP1 ,16X
PP1,NO,203-15-2,TRUE,NO,NONE,,PP1,15,YES,X,FALSE,NO,203,15EDY,15EDY,2,NO,PP1 ,16X
