ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE
1,F,4,1,0,3,Summer,FRIDAY,1300,6/22
2,F,2,3,0,3,Summer,MONDAY,1100,6/25
3,F,3,4,0,4,Summer,MONDAY,1200,6/25
4,F,3,2,0,3,Summer,MONDAY,1300,6/25
5,F,4,4,1,3,Summer,MONDAY,1400,6/25
6,F,2,1,0,3,Summer,MONDAY,1500,6/25
7,M,3,1,1,3,Summer,TUESDAY,1100,6/26
9,F,1,2,1,3,Summer,MONDAY,1200,7/2
10,F,4,1,1,3,Summer,THURSDAY,1100,7/5
11,M,4,4,0,4,Summer,THURSDAY,1500,7/5
12,F,1,2,1,4,Summer,FRIDAY,1200,7/6
13,F,4,1,1,3,Summer,MONDAY,1600,7/9
14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11
15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11
16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11
17,F,3,1,1,4,Summer,THURSDAY,1700,7/11
19,F,2,2,0,4,Summer,MONDAY,1500,7/16
20,F,3,1,1,4,Summer,WEDNESDAY,1500,7/25
21,F,1,1,0,4,Summer,WEDNESDAY,1600,7/25
22,F,3,3,0,4,Summer,WEDNESDAY,1700,7/25
201,F,3,2,0,3,Fall,WEDNESDAY,1200,11/14
202,M,1,4,0,2,Fall,WEDNESDAY,1500,11/14
203,F,1,3,0,3,Fall,WEDNESDAY,1400,11/14
204,F,4,1,1,3,Fall,WEDNESDAY,1700,11/14
205,F,2,1,1,3,Fall,TUESDAY,1300,11/20
206,F,3,1,1,4,Fall,TUESDAY,1400,11/20
207,M,3,1,1,3,Fall,TUESDAY,1500,11/20
208,F,1,1,1,3,Fall,TUESDAY,1600,11/20
209,F,3,2,1,4,Fall,WEDNESDAY,1200,11/21
210,F,3,1,1,4,Fall,WEDNESDAY,1400,11/21
212,M,4,1,1,3,Fall,WEDNESDAY,1600,11/21
214,F,1,3,0,4,Fall,WEDNESDAY,145,11/27
215,M,3,1,1,3,Fall,WEDNESDAY,1245,11/27