UID,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
9-16-2001,YES,NO,YES,PP1,V,NO,,YES
9-14-2001,NO,YES,YES,PP1,OBJ,YES,PP1,NO
9-12-2001,YES,YES,YES,V,OBJ,NO,,NO
9-10-2001,YES,NO,YES,PP1,V,YES,PP1,NO
9-8-2001,YES,YES,YES,PP1,V,NO,,NO
9-6-2001,NO,YES,YES,OBJ,PP1,NO,,YES
9-4-2001,YES,YES,YES,OBJ,PP1,NO,,NO
9-2-2001,YES,YES,YES,PP1,OBJ,YES,OBJ,YES
9-16-2002,NO,YES,YES,PP1,OBJ,NO,,YES
9-14-2002,YES,NO,YES,PP1,V,NO,,NO
9-12-2002,YES,YES,YES,OBJ,V,NO,,NO
9-10-2002,YES,YES,YES,V,PP1,NO,,YES
9-8-2002,NO,YES,YES,PP1,OBJ,NO,,NO
9-6-2002,NO,YES,YES,PP1,OBJ,NO,,YES
9-4-2002,YES,YES,YES,OBJ,V,NO,,NO
9-2-2002,YES,NO,YES,PP1,V,NO,,YES
22-2-2,NO,YES,YES,OBJ,PP1,YES,PP1,NO
22-4-2,YES,YES,YES,OBJ,PP1,NO,,NO
22-6-2,NO,YES,YES,OBJ,PP1,NO,,NO
22-8-2,NO,YES,YES,NONE,NONE,NO,,YES
22-10-2,YES,YES,YES,OBJ,V,NO,,NO
22-12-2,NO,YES,YES,NONE,NONE,NO,,YES
22-14-2,YES,YES,NO,V,OBJ,NO,,NO
22-16-2,NO,YES,YES,NONE,NONE,NO,,NO
22-2-1,YES,YES,YES,PP1,V,NO,,NO
22-4-1,YES,YES,YES,PP1,NONE,NO,,NO
22-6-1,NO,YES,NO,OBJ,NONE,NO,,NO
22-8-1,NO,YES,YES,OBJ,PP1,NO,,YES
22-10-1,YES,YES,YES,NONE,V,NO,,NO
22-12-1,YES,YES,YES,NONE,NONE,NO,,YES
22-14-1,YES,YES,NO,V,OBJ,NO,,NO
22-16-1,NO,YES,YES,NONE,NONE,NO,,NO
203-15-1,NO,YES,YES,NONE,NONE,YES,V,NO
203-13-1,NO,NO,YES,PP1,NONE,YES,V,NO
0203-11-1,NO,YES,YES,NONE,NONE,NO,,NO
0203-9-1,YES,NO,YES,PP1,V,YES,START,NO
0203-7-1,NO,YES,YES,PP1,OBJ,YES,PP2,NO
0203-5-1,NO,NO,YES,PP1,NONE,NO,,NO
0203-3-1,NO,NO,YES,PP1,NONE,NO,,YES
0203-1-1,YES,YES,YES,PP1,V,YES,SUBJ,NO
203-15-2,NO,YES,YES,NONE,NONE,NO,,NO
203-13-2,NO,YES,YES,PP1,OBJ,NO,,NO
0203-11-2,NO,YES,YES,OBJ,PP1,NO,,NO
0203-9-2,YES,YES,YES,OBJ,V,NO,,NO
0203-7-2,NO,YES,YES,PP1,OBJ,NO,,NO
0203-5-2,NO,YES,YES,NONE,NONE,NO,,YES
0203-3-2,NO,YES,YES,PP1,OBJ,NO,,YES
0203-1-2,NO,YES,YES,PP1,OBJ,NO,,NO
4-1-2002,NO,YES,YES,PP1,OBJ,NO,,YES
4-3-2002,NO,YES,YES,OBJ,PP1,NO,,NO
4-5-2002,NO,YES,YES,PP1,OBJ,NO,,NO
4-7-2002,NO,YES,YES,PP1,OBJ,YES,PP2,YES
4-9-2002,NO,YES,YES,PP1,OBJ,YES,OBJ,YES
4-11-2002,NO,YES,YES,NONE,NONE,NO,,YES
4-13-2002,NO,YES,YES,PP1,OBJ,YES,PP2,YES
4-15-2002,NO,YES,YES,NONE,NONE,NO,,YES
4-1-2001,YES,YES,YES,PP1,V,NO,,YES
4-3-2001,YES,YES,YES,NONE,OBJ,NO,,NO
4-5-2001,YES,YES,YES,PP1,V,YES,PP2,NO
4-7-2001,YES,YES,YES,OBJ,PP1,YES,PP2,YES
4-9-2001,YES,YES,YES,OBJ,PP1,YES,PP1,YES
4-11-2001,NO,YES,YES,PP1,OBJ,YES,PP2,YES
4-13-2001,YES,YES,YES,PP1,NONE,YES,PP1,YES
4-15-2001,NO,YES,YES,NONE,NONE,YES,PP2,YES
17-1-2,NO,YES,YES,PP1,OBJ,NO,,NO
17-3-2,YES,YES,YES,OBJ,PP1,YES,OBJ,YES
17-5-2,YES,YES,YES,OBJ,V,NO,,YES
17-7-2,YES,YES,YES,PP1,V,NO,,NO
17-9-2,YES,YES,YES,PP1,V,NO,,NO
17-11-2,YES,YES,YES,PP1,V,NO,,NO
17-13-2,NO,YES,YES,PP1,V,NO,,NO
17-15-2,NO,YES,YES,PP1,OBJ,NO,,NO
17-1-1,YES,YES,YES,PP1,OBJ,NO,,NO
17-3-1,NO,YES,YES,OBJ,PP1,YES,V,YES
17-5-1,NO,YES,YES,OBJ,PP1,YES,START,NO
17-7-1,YES,YES,YES,PP1,V,YES,PP2,NO
17-9-1,YES,YES,YES,OBJ,PP1,NO,,NO
17-11-1,NO,YES,YES,OBJ,PP1,NO,,NO
17-13-1,YES,YES,YES,OBJ,V,NO,,NO
17-15-1,YES,YES,YES,PP1,V,YES,PP2,NO
0210-2-2,YES,YES,YES,PP1,V,NO,,NO
0210-4-2,YES,YES,YES,OBJ,V,NO,,NO
0210-6-2,YES,YES,YES,PP1,OBJ,NO,,NO
0210-8-2,YES,YES,YES,PP1,V,NO,,YES
0210-10-2,YES,YES,YES,PP1,V,NO,,NO
0210-12-2,YES,YES,YES,PP1,V,NO,,YES
210-14-2,NO,YES,YES,NONE,NONE,NO,,NO
210-16-2,NO,YES,YES,OBJ,PP1,NO,,NO
0210-2-1,NO,YES,YES,PP1,OBJ,NO,,NO
0210-4-1,YES,YES,YES,OBJ,V,NO,,NO
0210-6-1,NO,YES,YES,OBJ,PP1,NO,,NO
0210-8-1,YES,YES,YES,NONE,V,NO,,YES
0210-10-1,YES,YES,YES,PP1,OBJ,NO,,NO
0210-12-1,YES,NO,YES,PP1,V,NO,,YES
210-14-1,YES,YES,YES,OBJ,PP1,NO,,NO
210-16-1,NO,YES,YES,OBJ,PP1,NO,,NO
19-15-1,NO,YES,YES,PP1,OBJ,NO,,NO
19-13-1,YES,YES,YES,OBJ,NONE,NO,,NO
19-11-1,NO,YES,YES,NONE,NONE,NO,,NO
19-9-1,NO,YES,YES,PP1,OBJ,YES,PP2,NO
19-7-1,NO,YES,YES,NONE,NONE,NO,,NO
19-5-1,NO,YES,YES,PP1,OBJ,YES,PP2,YES
19-3-1,YES,YES,YES,PP1,V,NO,,YES
19-1-1,YES,YES,YES,PP1,V,NO,,NO
19-15-2,NO,YES,YES,PP1,OBJ,NO,,NO
19-13-2,NO,YES,YES,OBJ,PP1,YES,OBJ,NO
19-11-2,,,,,,,,
19-9-2,,,,,,,,NO
19-7-2,YES,NO,YES,NONE,NONE,NO,,NO
19-5-2,NO,YES,YES,PP1,OBJ,NO,,NO
19-3-2,,,,,,,,
19-1-2,YES,YES,YES,PP1,V,NO,,NO
208-16-1,NO,YES,YES,NONE,NONE,NO,,NO
208-14-1,YES,YES,YES,V,OBJ,NO,,NO
0208-12-1,YES,NO,YES,V,PP1,NO,,YES
0208-10-1,YES,YES,YES,V,PP1,NO,,NO
0208-8-1,NO,YES,YES,PP1,OBJ,NO,,YES
0208-6-1,NO,YES,YES,PP1,OBJ,NO,,NO
0208-4-1,YES,YES,YES,V,OBJ,NO,,NO
0208-2-1,NO,YES,YES,PP1,OBJ,NO,,NO
208-16-2,NO,YES,YES,OBJ,PP1,NO,,NO
208-14-2,YES,YES,YES,OBJ,NONE,YES,PP2,NO
0208-12-2,YES,YES,YES,V,OBJ,NO,,YES
0208-10-2,YES,YES,YES,OBJ,PP1,NO,,NO
0208-8-2,NO,YES,YES,PP1,OBJ,NO,,YES
0208-6-2,NO,YES,YES,OBJ,PP1,NO,,NO
0208-4-2,YES,YES,YES,NONE,NONE,NO,,NO
0208-2-2,YES,NO,YES,PP1,V,NO,,NO