UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
22-16-1;22.16Y; 22;16EQY;B2;16;Y;16Y;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;22.16Y; 22;16EQY;B2;16;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1;16;YES;X;FALSE;NO; 22;16EDN;16EDN;1;NO;OBJ > PP1;1Y;22-16;D -GP;FALSE;TRUE;BOTH;22-16;1;2;BOTH;PP1 > OBJ;OBJ > PP1
22-16-2;22.16X; 22;16EQY;B2;16;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;22.16X; 22;16EQY;B2;16;X;NONE;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;16;NO;Y;FALSE;NO; 22;16EDN;16EDN;2;NO;OBJ;1Y;22-16;D -GP;FALSE;TRUE;OBJ;22-16;1;2;BOTH;BOTH;OBJ
22-2-1;22.2Y; 22;2EQN;B2; 2;Y;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;22.2Y; 22;2EQN;B2; 2;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE; 22;PP1;NO;TRUE;NO;NONE;NONE;PP1; 2;YES;X;FALSE;NO; 22;2EDY;2EDY;1;NO;PP1;1Y;22-2;D +GP;TRUE;FALSE;PP1;22-2;1;2;PP1 > OBJ;PP1;PP1
22-2-2;22.2X; 22;2EQN;B2; 2;X;16Y;NO;YES;YES;OBJ;PP1;YES;PP1;NO;NONE;22.2X; 22;2EQN;B2; 2;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;2x for column D; 22;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 2;YES;Y;FALSE;NO; 22;2EDY;2EDY;2;NO;PP1 > OBJ;1Y;22-2;D +GP;TRUE;FALSE;BOTH;22-2;1;2;OBJ > PP1;PP1 > OBJ;PP1 > OBJ
22-4-1;22.4Y; 22;4EQY;B2; 4;Y;16Y;YES;YES;YES;PP1;NONE;NO;NONE;NO;NONE;22.4Y; 22;4EQY;B2; 4;Y;NONE;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 4;YES;X;FALSE;NO; 22;4EDN;4EDN;1;NO;OBJ > PP1;1Y;22-4;D -GP;FALSE;TRUE;BOTH;22-4;1;2;PP1 > OBJ;OBJ > PP1;OBJ > PP1
22-4-2;22.4X; 22;4EQY;B2; 4;X;16Y;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;22.4X; 22;4EQY;B2; 4;X;NONE;NO;YES;NO;OBJ;NONE;YES;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;YES;V;NONE;OBJ; 4;NO;Y;FALSE;NO; 22;4EDN;4EDN;2;NO;OBJ > V;1Y;22-4;D -GP;FALSE;TRUE;OBJ;22-4;1;2;OBJ > PP1;OBJ;OBJ
22-6-1;22.6Y; 22;6EQY;B2; 6;Y;16Y;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;22.6Y; 22;6EQY;B2; 6;Y;NONE;NO;NO;NO;NONE;NONE;NO;NONE;NO;NONE;NONE; 22;PP1;NO;FALSE;NO;NONE;NONE;PP1; 6;YES;X;FALSE;NO; 22;6EDN;6EDN;1;NO;PP1;1Y;22-6;D -GP;TRUE;FALSE;PP1;22-6;1;2;OBJ;NONE;PP1
22-6-2;22.6X; 22;6EQY;B2; 6;X;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;22.6X; 22;6EQY;B2; 6;X;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 6;NO;Y;FALSE;NO; 22;6EDN;6EDN;2;NO;OBJ;1Y;22-6;D -GP;FALSE;TRUE;OBJ;22-6;1;2;OBJ > PP1;OBJ;OBJ
22-8-1;22.8Y; 22;8EDY;B2; 8;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;22.8Y; 22;8EDY;B2; 8;Y;NONE;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;NONE; 22;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ; 8;YES;X;TRUE;YES; 22;8EQN;8EQN;1;NO;PP1 > OBJ;1Y;22-8;Q -GP;TRUE;FALSE;BOTH;22-8;1;2;OBJ > PP1;OBJ > PP1;PP1 > OBJ
22-8-2;22.8X; 22;8EDY;B2; 8;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;22.8X; 22;8EDY;B2; 8;X;NONE;NO;NO;YES;OBJ;NONE;NO;NONE;YES;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 8;NO;Y;TRUE;YES; 22;8EQN;8EQN;2;NO;OBJ;1Y;22-8;Q -GP;FALSE;TRUE;OBJ;22-8;1;2;BOTH;PP1;OBJ
4-1-1;4.1Y;  4;1EDY;B4; 1;Y;16Y;YES;YES;YES;PP1;V;NO;NONE;YES;NONE;4.1Y;  4;1EDY;B4; 1;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;NONE;  4;PP1;YES;FALSE;NO;OBJ;PP2;PP1 > OBJ; 1;YES;X;TRUE;YES;  4;1EQN;4.1EQN_X;1;YES;PP1 > OBJ;16X;4-1;Q -GP;TRUE;FALSE;BOTH;4-1;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-1-2;4.1X;  4;1EDY;B4; 1;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;4.1X;  4;1EDY;B4; 1;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  4;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 1;NO;Y;TRUE;YES;  4;1EQN;4.1EQN_Y;2;NO;OBJ;16X;4-1;Q -GP;FALSE;TRUE;OBJ;4-1;1;4;PP1 > OBJ;PP1;OBJ
4-11-1;4.11Y;  4;11EDN;B4;11;Y;16Y;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;4.11Y;  4;11EDN;B4;11;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;11;YES;X;TRUE;YES;  4;11EQY;4.11EQY_X;1;NO;PP1 > OBJ;16X;4-11;Q +GP;TRUE;FALSE;BOTH;4-11;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-11-2;4.11X;  4;11EDN;B4;11;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;4.11X;  4;11EDN;B4;11;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;11;YES;Y;TRUE;YES;  4;11EQY;4.11EQY_Y;2;NO;PP1 > OBJ;16X;4-11;Q +GP;TRUE;FALSE;BOTH;4-11;1;4;BOTH;PP1 > OBJ;PP1 > OBJ
4-13-1;4.13Y;  4;13EDN;B4;13;Y;16Y;YES;YES;YES;PP1;NONE;YES;PP1;YES;NONE;4.13Y;  4;13EDN;B4;13;Y;1X;NO;YES;YES;PP1;OBJ;YES;OBJ;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;13;YES;X;TRUE;NO;  4;13EQY;4.13EQY_X;1;NO;PP1 > OBJ;16X;4-13;Q +GP;TRUE;FALSE;BOTH;4-13;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-13-2;4.13X;  4;13EDN;B4;13;X;16Y;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;4.13X;  4;13EDN;B4;13;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  4;PP1;NO;TRUE;NO;NONE;NONE;PP1;13;YES;Y;TRUE;YES;  4;13EQY;4.13EQY_Y;2;NO;PP1;16X;4-13;Q +GP;TRUE;FALSE;PP1;4-13;1;4;PP1 > OBJ;PP1;PP1
4-15-1;4.15Y;  4;15EDY;B4;15;Y;16Y;NO;YES;YES;NONE;NONE;YES;PP2;YES;NONE;4.15Y;  4;15EDY;B4;15;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;NONE;  4;PP1;YES;FALSE;NO;OBJ;PP2;PP1 > OBJ;15;YES;X;TRUE;YES;  4;15EQN;4.15EQN_X;1;YES;PP1 > OBJ;16X;4-15;Q -GP;TRUE;FALSE;BOTH;4-15;1;4;BOTH;PP1 > OBJ;PP1 > OBJ
4-15-2;4.15X;  4;15EDY;B4;15;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;4.15X;  4;15EDY;B4;15;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  4;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;15;NO;Y;TRUE;YES;  4;15EQN;4.15EQN_Y;2;NO;OBJ;16X;4-15;Q -GP;FALSE;TRUE;OBJ;4-15;1;4;BOTH;PP1;OBJ
4-3-1;4.3Y;  4;3EQY;B4; 3;Y;16Y;YES;YES;YES;NONE;OBJ;NO;NONE;NO;NONE;4.3Y;  4;3EQY;B4; 3;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;  4;NONE;YES;FALSE;NO;NONE;NONE;OBJ PP1; 3;YES;X;FALSE;NO;  4;3EDN;4.3EDN_X;1;NO;OBJ PP1;16X;4-3;D -GP;FALSE;FALSE;BOTH;4-3;1;4;PP1 > OBJ;PP1 > OBJ;BOTH
4-3-2;4.3X;  4;3EQY;B4; 3;X;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;4.3X;  4;3EQY;B4; 3;X;1X;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;  4;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 3;NO;Y;FALSE;NO;  4;3EDN;4.3EDN_Y;2;NO;OBJ;16X;4-3;D -GP;FALSE;TRUE;OBJ;4-3;1;4;OBJ > PP1;OBJ;OBJ
4-5-1;4.5Y;  4;5EQY;B4; 5;Y;16Y;YES;YES;YES;PP1;V;YES;PP2;NO;NONE;4.5Y;  4;5EQY;B4; 5;Y;1X;NO;YES;YES;OBJ;PP1;YES;PP2;NO;NONE;NONE;  4;OBJ;YES;FALSE;NO;PP1;PP1;OBJ > PP1; 5;YES;X;FALSE;NO;  4;5EDN;4.5EDN_X;1;YES;OBJ > PP1;16X;4-5;D -GP;FALSE;TRUE;BOTH;4-5;1;4;PP1 > OBJ;OBJ > PP1;OBJ > PP1
4-5-2;4.5X;  4;5EQY;B4; 5;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;4.5X;  4;5EQY;B4; 5;X;1X;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;  4;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 5;NO;Y;FALSE;NO;  4;5EDN;4.5EDN_Y;2;NO;OBJ;16X;4-5;D -GP;FALSE;TRUE;OBJ;4-5;1;4;PP1 > OBJ;OBJ;OBJ
4-7-1;4.7Y;  4;7EDN;B4; 7;Y;16Y;YES;YES;YES;OBJ;PP1;YES;PP2;YES;NONE;4.7Y;  4;7EDN;B4; 7;Y;1X;NO;YES;YES;OBJ;PP1;YES;PP2;YES;NONE;NONE;  4;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1; 7;YES;X;TRUE;YES;  4;7EQY;4.7EQY_X;1;NO;OBJ > PP1;16X;4-7;Q +GP;FALSE;TRUE;BOTH;4-7;1;4;OBJ > PP1;OBJ > PP1;OBJ > PP1
4-7-2;4.7X;  4;7EDN;B4; 7;X;16Y;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;4.7X;  4;7EDN;B4; 7;X;1X;NO;NO;YES;PP1;NONE;YES;PP2;YES;NONE;NONE;  4;PP1;NO;TRUE;NO;NONE;PP2;PP1; 7;YES;Y;TRUE;YES;  4;7EQY;4.7EQY_Y;2;YES;PP1;16X;4-7;Q +GP;TRUE;FALSE;PP1;4-7;1;4;PP1 > OBJ;PP1;PP1
4-9-1;4.9Y;  4;9EDY;B4; 9;Y;16Y;YES;YES;YES;OBJ;PP1;YES;PP1;YES;NONE;4.9Y;  4;9EDY;B4; 9;Y;1X;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;NONE;  4;V;YES;FALSE;YES;OBJ;OBJ;OBJ; 9;NO;X;TRUE;NO;  4;9EQN;4.9EQN_X;1;YES;V > OBJ;16X;4-9;Q -GP;FALSE;TRUE;OBJ;4-9;1;4;OBJ > PP1;OBJ > PP1;OBJ
4-9-2;4.9X;  4;9EDY;B4; 9;X;16Y;NO;YES;YES;PP1;OBJ;YES;OBJ;YES;NONE;4.9X;  4;9EDY;B4; 9;X;1X;NO;YES;NO;OBJ;NONE;NO;NONE;YES;NONE;NONE;  4;V;NO;FALSE;YES;NONE;NONE;NONE; 9;NO;Y;TRUE;YES;  4;9EQN;4.9EQN_Y;2;NO;V;16X;4-9;Q -GP;FALSE;FALSE;NEITHER;4-9;1;4;PP1 > OBJ;OBJ;NONE
9-10-1;9.10Y;  9;10EDN;B1;10;Y;1X;YES;NO;YES;PP1;V;YES;PP1;NO;NONE;9.10Y;  9;10EDN;B1;10;Y;16Y;NO;NO;YES;PP1;NONE;YES;PP2;YES;NONE;NONE;  9;PP1;NO;FALSE;NO;NONE;PP2;PP1;10;YES;X;TRUE;NO;  9;10EQN;9.10EQN_X;1;YES;PP1;16Y;9-10;Q -GP;TRUE;FALSE;PP1;9-10;1;1;PP1;PP1;PP1
9-10-2;9.10X;  9;10EDN;B1;10;X;1X;YES;YES;YES;V;PP1;NO;NONE;YES;NONE;9.10X;  9;10EDN;B1;10;X;16Y;YES;NO;YES;PP1;V;NO;NONE;YES;NONE;NONE;  9;PP1;NO;FALSE;NO;NONE;NONE;PP1;10;YES;Y;TRUE;YES;  9;10EQN;9.10EQN_Y;2;NO;PP1;16Y;9-10;Q -GP;TRUE;FALSE;PP1;9-10;1;1;OBJ > PP1;PP1;PP1
9-12-1;9.12Y;  9;12EQN;B1;12;Y;1X;YES;YES;YES;V;OBJ;NO;NONE;NO;NONE;9.12Y;  9;12EQN;B1;12;Y;16Y;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;  9;PP1;NO;FALSE;NO;NONE;NONE;PP1;12;YES;X;FALSE;NO;  9;12EDN;9.12EDN_X;1;NO;PP1;16Y;9-12;D -GP;TRUE;FALSE;PP1;9-12;1;1;PP1 > OBJ;PP1;PP1
9-12-2;9.12X;  9;12EQN;B1;12;X;1X;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;9.12X;  9;12EQN;B1;12;X;16Y;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;  9;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1;12;YES;Y;FALSE;NO;  9;12EDN;9.12EDN_Y;2;NO;OBJ > PP1;16Y;9-12;D -GP;FALSE;TRUE;BOTH;9-12;1;1;OBJ > PP1;OBJ;OBJ > PP1
9-14-1;9.14Y;  9;14EDY;B1;14;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP1;NO;NONE;9.14Y;  9;14EDY;B1;14;Y;16Y;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;  9;PP1;NO;TRUE;NO;NONE;PP2;PP1;14;YES;X;TRUE;NO;  9;14EQY;9.14EQY_X;1;YES;PP1;16Y;9-14;Q +GP;TRUE;FALSE;PP1;9-14;1;1;PP1 > OBJ;PP1;PP1
9-14-2;9.14X;  9;14EDY;B1;14;X;1X;YES;NO;YES;PP1;V;NO;NONE;NO;NONE;9.14X;  9;14EDY;B1;14;X;16Y;NO;YES;YES;NONE;NONE;YES;PP2;NO;NONE;NONE;  9;PP1;NO;TRUE;NO;NONE;NONE;PP1;14;YES;Y;TRUE;NO;  9;14EQY;9.14EQY_Y;2;NO;PP1;16Y;9-14;Q +GP;TRUE;FALSE;PP1;9-14;1;1;PP1;BOTH;PP1
9-16-1;9.16Y;  9;16EDY;B1;16;Y;1X;YES;NO;YES;PP1;V;NO;NONE;YES;NONE;9.16Y;  9;16EDY;B1;16;Y;16Y;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  9;PP1;NO;TRUE;NO;NONE;NONE;PP1;16;YES;X;TRUE;YES;  9;16EQY;9.16EQY_X;1;NO;PP1;16Y;9-16;Q +GP;TRUE;FALSE;PP1;9-16;1;1;PP1;PP1;PP1
9-16-2;9.16X;  9;16EDY;B1;16;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;9.16X;  9;16EDY;B1;16;X;16Y;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  9;PP1;NO;TRUE;YES;V;NONE;PP1;16;YES;Y;TRUE;YES;  9;16EQY;9.16EQY_Y;2;NO;PP1 > V;16Y;9-16;Q +GP;TRUE;FALSE;PP1;9-16;1;1;PP1 > OBJ;PP1;PP1
9-2-1;9.2Y;  9;2EDN;B1; 2;Y;1X;YES;YES;YES;PP1;OBJ;YES;OBJ;YES;NONE;9.2Y;  9;2EDN;B1; 2;Y;16Y;NO;NO;YES;PP1;NONE;YES;PP2;YES;NONE;NONE;  9;PP1;NO;FALSE;NO;NONE;PP2;PP1; 2;YES;X;TRUE;YES;  9;2EQN;9.2EQN_X;1;YES;PP1;16Y;9-2;Q -GP;TRUE;FALSE;PP1;9-2;1;1;PP1 > OBJ;PP1;PP1
9-2-2;9.2X;  9;2EDN;B1; 2;X;1X;YES;NO;YES;PP1;V;NO;NONE;YES;NONE;9.2X;  9;2EDN;B1; 2;X;16Y;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  9;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 2;NO;Y;TRUE;YES;  9;2EQN;9.2EQN_Y;2;NO;OBJ > PP1;16Y;9-2;Q -GP;FALSE;TRUE;OBJ;9-2;1;1;PP1;PP1;OBJ
9-4-1;9.4Y;  9;4EDY;B1; 4;Y;1X;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;9.4Y;  9;4EDY;B1; 4;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE;  9;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 4;YES;X;TRUE;NO;  9;4EQY;9.4EQY_X;1;NO;PP1 > OBJ;16Y;9-4;Q +GP;TRUE;FALSE;BOTH;9-4;1;1;OBJ > PP1;OBJ > PP1;PP1 > OBJ
9-4-2;9.4X;  9;4EDY;B1; 4;X;1X;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;9.4X;  9;4EDY;B1; 4;X;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE;  9;OBJ;YES;TRUE;NO;NONE;NONE;OBJ; 4;NO;Y;TRUE;NO;  9;4EQY;9.4EQY_Y;2;NO;OBJ;16Y;9-4;Q +GP;FALSE;TRUE;OBJ;9-4;1;1;OBJ > PP1;OBJ > PP1;OBJ
9-6-1;9.6Y;  9;6EDY;B1; 6;Y;1X;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;9.6Y;  9;6EDY;B1; 6;Y;16Y;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  9;PP1;NO;TRUE;NO;NONE;PP2;PP1; 6;YES;X;TRUE;YES;  9;6EQY;9.6EQY_X;1;YES;PP1;16Y;9-6;Q +GP;TRUE;FALSE;PP1;9-6;1;1;OBJ > PP1;PP1;PP1
9-6-2;9.6X;  9;6EDY;B1; 6;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;9.6X;  9;6EDY;B1; 6;X;16Y;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  9;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 6;YES;Y;TRUE;YES;  9;6EQY;9.6EQY_Y;2;NO;PP1 > OBJ;16Y;9-6;Q +GP;TRUE;FALSE;BOTH;9-6;1;1;PP1 > OBJ;PP1;PP1 > OBJ
9-8-1;9.8Y;  9;8EQY;B1; 8;Y;1X;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;9.8Y;  9;8EQY;B1; 8;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;  9;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 8;YES;X;FALSE;NO;  9;8EDY;9.8EDY_X;1;NO;PP1 > OBJ;16Y;9-8;D +GP;TRUE;FALSE;BOTH;9-8;1;1;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
9-8-2;9.8X;  9;8EQY;B1; 8;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;9.8X;  9;8EQY;B1; 8;X;16Y;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;  9;PP1;NO;TRUE;NO;NONE;NONE;PP1; 8;YES;Y;FALSE;NO;  9;8EDY;9.8EDY_Y;2;NO;PP1;16Y;9-8;D +GP;TRUE;FALSE;PP1;9-8;1;1;PP1 > OBJ;PP1;PP1
